        NN     FT     ST      E       DCG
No.1: 0.000	 0.115	 0.245	 0.000	 0.618
No.2: 0.000	 0.067	 0.150	 0.000	 0.607
No.3: 0.000	 0.064	 0.140	 0.000	 0.603
No.4: 0.000	 0.041	 0.067	 0.012	 0.595
No.5: 0.000	 0.140	 0.217	 0.012	 0.621
No.6: 0.000	 0.038	 0.118	 0.000	 0.605
No.7: 0.000	 0.232	 0.322	 0.052	 0.696
No.8: 1.000	 0.239	 0.309	 0.121	 0.760
No.9: 0.000	 0.322	 0.436	 0.046	 0.723
No.10: 0.000	 0.268	 0.385	 0.075	 0.728
No.11: 0.000	 0.045	 0.127	 0.006	 0.605
No.12: 0.000	 0.041	 0.118	 0.000	 0.595
No.13: 0.000	 0.140	 0.207	 0.029	 0.648
No.14: 0.000	 0.061	 0.150	 0.000	 0.590
No.15: 0.000	 0.003	 0.048	 0.000	 0.570
No.16: 0.000	 0.003	 0.032	 0.000	 0.575
No.17: 0.000	 0.207	 0.293	 0.069	 0.695
No.18: 1.000	 0.357	 0.471	 0.168	 0.842
No.19: 0.000	 0.032	 0.105	 0.000	 0.588
No.20: 0.000	 0.080	 0.169	 0.000	 0.617
No.21: 0.000	 0.318	 0.427	 0.110	 0.755
No.22: 0.000	 0.000	 0.000	 0.000	 0.526
No.23: 0.000	 0.118	 0.261	 0.023	 0.650
No.24: 1.000	 0.306	 0.414	 0.179	 0.819
No.25: 0.000	 0.096	 0.172	 0.000	 0.617
No.26: 0.000	 0.239	 0.360	 0.012	 0.681
No.27: 0.000	 0.000	 0.000	 0.000	 0.531
No.28: 0.000	 0.194	 0.296	 0.017	 0.664
No.29: 1.000	 0.322	 0.424	 0.145	 0.817
No.30: 0.000	 0.070	 0.175	 0.000	 0.597
No.31: 0.000	 0.045	 0.134	 0.000	 0.586
No.32: 1.000	 0.293	 0.395	 0.145	 0.796
No.33: 1.000	 0.268	 0.363	 0.139	 0.793
No.34: 0.000	 0.127	 0.229	 0.023	 0.644
No.35: 0.000	 0.115	 0.210	 0.023	 0.642
No.36: 0.000	 0.076	 0.172	 0.017	 0.614
No.37: 0.000	 0.111	 0.220	 0.006	 0.624
No.38: 0.000	 0.283	 0.382	 0.006	 0.684
No.39: 0.000	 0.019	 0.115	 0.000	 0.599
No.40: 0.000	 0.140	 0.226	 0.029	 0.649
No.41: 1.000	 0.312	 0.427	 0.145	 0.783
No.42: 0.000	 0.102	 0.217	 0.017	 0.635
No.43: 1.000	 0.411	 0.519	 0.156	 0.820
No.44: 0.000	 0.169	 0.274	 0.017	 0.647
No.45: 0.000	 0.111	 0.236	 0.000	 0.635
No.46: 0.000	 0.296	 0.414	 0.145	 0.770
No.47: 0.000	 0.051	 0.131	 0.000	 0.597
No.48: 0.000	 0.076	 0.185	 0.012	 0.623
No.49: 1.000	 0.331	 0.427	 0.162	 0.819
No.50: 0.000	 0.150	 0.239	 0.012	 0.636
No.51: 0.000	 0.022	 0.086	 0.000	 0.591
No.52: 0.000	 0.178	 0.287	 0.012	 0.662
No.53: 0.000	 0.188	 0.312	 0.000	 0.653
No.54: 0.000	 0.048	 0.140	 0.000	 0.597
No.55: 0.000	 0.073	 0.146	 0.006	 0.612
No.56: 0.000	 0.019	 0.061	 0.000	 0.579
No.57: 0.000	 0.010	 0.054	 0.000	 0.592
No.58: 0.000	 0.366	 0.471	 0.133	 0.784
No.59: 0.000	 0.003	 0.083	 0.000	 0.574
No.60: 0.000	 0.006	 0.041	 0.000	 0.570
No.61: 0.000	 0.146	 0.232	 0.023	 0.651
No.62: 0.000	 0.248	 0.382	 0.046	 0.699
No.63: 0.000	 0.102	 0.178	 0.012	 0.619
No.64: 0.000	 0.006	 0.019	 0.000	 0.544
No.65: 0.000	 0.191	 0.290	 0.064	 0.683
No.66: 0.000	 0.283	 0.360	 0.058	 0.716
No.67: 0.000	 0.137	 0.201	 0.000	 0.617
No.68: 0.000	 0.054	 0.150	 0.000	 0.596
No.69: 0.000	 0.232	 0.354	 0.029	 0.688
No.70: 0.000	 0.124	 0.213	 0.023	 0.655
No.71: 0.000	 0.013	 0.064	 0.000	 0.585
No.72: 0.000	 0.013	 0.061	 0.000	 0.580
No.73: 0.000	 0.070	 0.153	 0.000	 0.613
No.74: 0.000	 0.303	 0.389	 0.058	 0.724
No.75: 0.000	 0.178	 0.290	 0.012	 0.652
No.76: 0.000	 0.185	 0.312	 0.017	 0.670
No.77: 1.000	 0.309	 0.417	 0.092	 0.752
No.78: 0.000	 0.000	 0.000	 0.000	 0.552
No.79: 0.000	 0.006	 0.022	 0.000	 0.563
No.80: 0.000	 0.150	 0.271	 0.006	 0.645
No.81: 0.000	 0.000	 0.000	 0.000	 0.108
No.82: 0.000	 0.000	 0.000	 0.000	 0.106
No.83: 0.000	 0.000	 0.000	 0.000	 0.119
No.84: 0.000	 0.000	 0.000	 0.000	 0.092
No.85: 0.000	 0.000	 0.000	 0.000	 0.081
No.86: 0.000	 0.000	 0.000	 0.000	 0.104
No.87: 0.000	 0.000	 0.000	 0.000	 0.106
No.88: 0.000	 0.000	 0.000	 0.000	 0.089
No.89: 0.000	 0.000	 0.000	 0.000	 0.118
No.90: 0.000	 0.000	 0.000	 0.000	 0.148
No.91: 0.000	 0.000	 0.000	 0.000	 0.098
No.92: 0.000	 0.000	 0.000	 0.000	 0.153
No.93: 0.000	 0.000	 0.000	 0.000	 0.126
No.94: 0.000	 0.000	 0.000	 0.000	 0.091
No.95: 0.000	 0.000	 0.000	 0.000	 0.098
No.96: 0.000	 0.000	 0.000	 0.000	 0.097
No.97: 0.000	 0.000	 0.000	 0.000	 0.100
No.98: 0.000	 0.500	 0.500	 0.118	 0.631
No.99: 0.000	 0.000	 0.000	 0.000	 0.095
No.100: 0.000	 0.000	 0.000	 0.000	 0.114
No.101: 0.000	 0.000	 0.000	 0.000	 0.129
No.102: 0.000	 0.000	 0.000	 0.118	 0.373
No.103: 0.000	 0.000	 0.000	 0.000	 0.135
No.104: 0.000	 0.000	 0.000	 0.000	 0.113
No.105: 0.000	 0.000	 0.000	 0.000	 0.107
No.106: 0.000	 0.000	 0.000	 0.000	 0.108
No.107: 0.000	 0.000	 0.000	 0.000	 0.087
No.108: 0.000	 0.000	 0.000	 0.000	 0.133
No.109: 0.000	 0.000	 0.000	 0.000	 0.085
No.110: 0.000	 0.000	 0.000	 0.000	 0.110
No.111: 0.000	 0.000	 0.000	 0.000	 0.099
No.112: 0.000	 0.000	 0.000	 0.000	 0.102
No.113: 0.000	 0.000	 0.000	 0.000	 0.120
No.114: 0.000	 0.000	 0.000	 0.000	 0.110
No.115: 0.000	 0.000	 0.000	 0.000	 0.088
No.116: 0.000	 0.000	 0.000	 0.000	 0.086
No.117: 0.000	 0.000	 0.000	 0.000	 0.102
No.118: 0.000	 0.000	 0.000	 0.000	 0.104
No.119: 0.000	 0.000	 0.000	 0.000	 0.097
No.120: 0.000	 0.000	 0.000	 0.000	 0.103
No.121: 0.000	 0.000	 0.000	 0.000	 0.109
No.122: 0.000	 0.000	 0.000	 0.000	 0.137
No.123: 0.000	 0.000	 0.000	 0.000	 0.112
No.124: 0.000	 0.000	 0.000	 0.000	 0.165
No.125: 0.000	 0.000	 0.000	 0.000	 0.080
No.126: 0.000	 0.000	 0.000	 0.000	 0.138
No.127: 0.000	 0.000	 0.000	 0.000	 0.160
No.128: 0.000	 0.000	 0.000	 0.000	 0.108
No.129: 0.000	 0.000	 0.000	 0.000	 0.115
No.130: 0.000	 0.000	 0.000	 0.000	 0.094
No.131: 0.000	 0.000	 0.000	 0.000	 0.091
No.132: 0.000	 0.000	 0.000	 0.000	 0.084
No.133: 0.000	 0.000	 0.000	 0.000	 0.105
No.134: 0.000	 0.000	 0.000	 0.000	 0.112
No.135: 0.000	 0.000	 0.000	 0.000	 0.078
No.136: 0.000	 0.000	 0.000	 0.000	 0.097
No.137: 0.000	 0.000	 0.000	 0.000	 0.107
No.138: 0.000	 0.000	 0.000	 0.000	 0.106
No.139: 0.000	 0.000	 0.000	 0.000	 0.115
No.140: 0.000	 0.000	 0.000	 0.000	 0.080
No.141: 0.000	 0.000	 0.000	 0.000	 0.085
No.142: 0.000	 0.000	 0.000	 0.000	 0.108
No.143: 0.000	 0.000	 0.000	 0.000	 0.106
No.144: 0.000	 0.000	 0.000	 0.000	 0.111
No.145: 0.000	 0.000	 0.000	 0.000	 0.104
No.146: 0.000	 0.000	 0.000	 0.118	 0.237
No.147: 0.000	 0.000	 0.000	 0.000	 0.112
No.148: 0.000	 0.000	 0.000	 0.000	 0.106
No.149: 0.000	 0.000	 0.000	 0.000	 0.147
No.150: 0.000	 0.000	 0.000	 0.000	 0.114
No.151: 0.000	 0.000	 0.000	 0.000	 0.102
No.152: 0.000	 0.000	 0.000	 0.000	 0.091
No.153: 0.000	 0.000	 0.000	 0.118	 0.236
No.154: 0.000	 0.000	 0.000	 0.000	 0.137
No.155: 0.000	 0.000	 0.000	 0.000	 0.164
No.156: 0.000	 0.000	 0.000	 0.000	 0.119
No.157: 0.000	 0.000	 0.000	 0.000	 0.112
No.158: 0.000	 0.000	 0.000	 0.000	 0.102
No.159: 0.000	 0.000	 0.000	 0.000	 0.104
No.160: 0.000	 0.000	 0.000	 0.000	 0.107
No.161: 0.000	 0.000	 0.018	 0.000	 0.363
No.162: 0.000	 0.000	 0.000	 0.000	 0.304
No.163: 0.000	 0.000	 0.000	 0.000	 0.298
No.164: 0.000	 0.000	 0.000	 0.000	 0.317
No.165: 0.000	 0.018	 0.018	 0.022	 0.332
No.166: 0.000	 0.000	 0.000	 0.000	 0.325
No.167: 0.000	 0.000	 0.000	 0.000	 0.350
No.168: 0.000	 0.000	 0.035	 0.000	 0.356
No.169: 0.000	 0.193	 0.351	 0.157	 0.543
No.170: 0.000	 0.000	 0.000	 0.000	 0.325
No.171: 0.000	 0.000	 0.000	 0.000	 0.315
No.172: 0.000	 0.000	 0.000	 0.000	 0.323
No.173: 0.000	 0.000	 0.175	 0.000	 0.419
No.174: 0.000	 0.000	 0.000	 0.000	 0.323
No.175: 0.000	 0.000	 0.000	 0.000	 0.306
No.176: 0.000	 0.000	 0.000	 0.000	 0.321
No.177: 0.000	 0.000	 0.000	 0.000	 0.332
No.178: 0.000	 0.000	 0.018	 0.000	 0.390
No.179: 0.000	 0.000	 0.000	 0.000	 0.306
No.180: 0.000	 0.000	 0.000	 0.000	 0.317
No.181: 0.000	 0.000	 0.000	 0.000	 0.349
No.182: 0.000	 0.053	 0.105	 0.000	 0.406
No.183: 0.000	 0.000	 0.000	 0.000	 0.346
No.184: 0.000	 0.053	 0.140	 0.022	 0.437
No.185: 0.000	 0.000	 0.000	 0.000	 0.352
No.186: 0.000	 0.000	 0.000	 0.000	 0.316
No.187: 0.000	 0.000	 0.000	 0.000	 0.330
No.188: 0.000	 0.000	 0.000	 0.000	 0.339
No.189: 0.000	 0.000	 0.000	 0.000	 0.385
No.190: 0.000	 0.018	 0.053	 0.000	 0.383
No.191: 0.000	 0.000	 0.000	 0.000	 0.312
No.192: 0.000	 0.000	 0.000	 0.000	 0.311
No.193: 0.000	 0.000	 0.018	 0.000	 0.332
No.194: 0.000	 0.000	 0.000	 0.000	 0.316
No.195: 0.000	 0.000	 0.018	 0.000	 0.399
No.196: 0.000	 0.000	 0.000	 0.000	 0.320
No.197: 0.000	 0.000	 0.000	 0.000	 0.316
No.198: 0.000	 0.000	 0.000	 0.000	 0.359
No.199: 0.000	 0.018	 0.018	 0.022	 0.340
No.200: 0.000	 0.000	 0.000	 0.000	 0.314
No.201: 0.000	 0.000	 0.000	 0.000	 0.319
No.202: 0.000	 0.000	 0.000	 0.000	 0.314
No.203: 0.000	 0.018	 0.105	 0.000	 0.400
No.204: 0.000	 0.000	 0.000	 0.000	 0.325
No.205: 0.000	 0.000	 0.000	 0.000	 0.326
No.206: 0.000	 0.000	 0.000	 0.000	 0.340
No.207: 0.000	 0.035	 0.088	 0.000	 0.441
No.208: 0.000	 0.000	 0.000	 0.000	 0.327
No.209: 0.000	 0.000	 0.000	 0.000	 0.329
No.210: 0.000	 0.053	 0.070	 0.000	 0.368
No.211: 0.000	 0.000	 0.035	 0.000	 0.403
No.212: 0.000	 0.000	 0.018	 0.000	 0.384
No.213: 0.000	 0.228	 0.351	 0.157	 0.502
No.214: 0.000	 0.000	 0.000	 0.000	 0.330
No.215: 0.000	 0.070	 0.228	 0.000	 0.463
No.216: 0.000	 0.000	 0.000	 0.000	 0.302
No.217: 0.000	 0.000	 0.000	 0.000	 0.305
No.218: 0.000	 0.000	 0.000	 0.000	 0.316
No.219: 0.000	 0.053	 0.070	 0.022	 0.425
No.220: 0.000	 0.000	 0.000	 0.000	 0.363
