        NN     FT     ST      E       DCG
No.1: 0.000	 0.258	 0.357	 0.116	 0.729
No.2: 0.000	 0.013	 0.057	 0.000	 0.561
No.3: 0.000	 0.045	 0.137	 0.000	 0.591
No.4: 1.000	 0.369	 0.414	 0.150	 0.792
No.5: 0.000	 0.019	 0.038	 0.006	 0.565
No.6: 0.000	 0.363	 0.462	 0.133	 0.784
No.7: 1.000	 0.430	 0.519	 0.185	 0.860
No.8: 0.000	 0.080	 0.121	 0.017	 0.588
No.9: 1.000	 0.404	 0.490	 0.173	 0.836
No.10: 0.000	 0.000	 0.006	 0.000	 0.513
No.11: 1.000	 0.350	 0.433	 0.133	 0.788
No.12: 0.000	 0.025	 0.038	 0.006	 0.531
No.13: 0.000	 0.064	 0.092	 0.023	 0.564
No.14: 0.000	 0.032	 0.064	 0.000	 0.561
No.15: 0.000	 0.306	 0.459	 0.058	 0.723
No.16: 0.000	 0.032	 0.054	 0.006	 0.534
No.17: 0.000	 0.102	 0.140	 0.012	 0.578
No.18: 0.000	 0.299	 0.439	 0.116	 0.757
No.19: 0.000	 0.296	 0.408	 0.098	 0.703
No.20: 0.000	 0.022	 0.054	 0.006	 0.562
No.21: 1.000	 0.401	 0.567	 0.081	 0.786
No.22: 1.000	 0.369	 0.424	 0.156	 0.809
No.23: 1.000	 0.207	 0.347	 0.046	 0.694
No.24: 0.000	 0.080	 0.159	 0.017	 0.588
No.25: 0.000	 0.261	 0.401	 0.110	 0.730
No.26: 0.000	 0.099	 0.210	 0.040	 0.648
No.27: 1.000	 0.408	 0.490	 0.179	 0.842
No.28: 1.000	 0.099	 0.146	 0.040	 0.638
No.29: 0.000	 0.389	 0.497	 0.104	 0.771
No.30: 1.000	 0.315	 0.411	 0.185	 0.800
No.31: 0.000	 0.182	 0.264	 0.035	 0.672
No.32: 1.000	 0.436	 0.510	 0.185	 0.857
No.33: 0.000	 0.217	 0.315	 0.127	 0.720
No.34: 0.000	 0.280	 0.401	 0.040	 0.687
No.35: 1.000	 0.385	 0.452	 0.168	 0.826
No.36: 1.000	 0.354	 0.395	 0.179	 0.806
No.37: 1.000	 0.408	 0.459	 0.185	 0.840
No.38: 0.000	 0.271	 0.350	 0.081	 0.698
No.39: 1.000	 0.146	 0.226	 0.040	 0.686
No.40: 1.000	 0.274	 0.414	 0.069	 0.736
No.41: 1.000	 0.166	 0.223	 0.104	 0.683
No.42: 0.000	 0.006	 0.048	 0.000	 0.574
No.43: 0.000	 0.201	 0.255	 0.058	 0.669
No.44: 1.000	 0.172	 0.268	 0.081	 0.709
No.45: 1.000	 0.213	 0.306	 0.098	 0.728
No.46: 1.000	 0.217	 0.299	 0.116	 0.723
No.47: 1.000	 0.354	 0.494	 0.150	 0.828
No.48: 0.000	 0.226	 0.347	 0.040	 0.683
No.49: 1.000	 0.373	 0.475	 0.173	 0.832
No.50: 1.000	 0.143	 0.232	 0.052	 0.656
No.51: 0.000	 0.000	 0.000	 0.000	 0.096
No.52: 0.000	 0.000	 0.000	 0.000	 0.116
No.53: 0.000	 0.000	 0.000	 0.000	 0.106
No.54: 0.000	 0.000	 0.000	 0.000	 0.101
No.55: 0.000	 0.000	 0.000	 0.000	 0.109
No.56: 0.000	 0.000	 0.000	 0.000	 0.098
No.57: 0.000	 0.000	 0.000	 0.000	 0.102
No.58: 0.000	 0.000	 0.000	 0.000	 0.089
No.59: 0.000	 0.000	 0.000	 0.000	 0.121
No.60: 0.000	 0.000	 0.000	 0.000	 0.078
No.61: 0.000	 0.000	 0.000	 0.000	 0.125
No.62: 0.000	 0.000	 0.000	 0.000	 0.107
No.63: 0.000	 0.000	 0.000	 0.000	 0.111
No.64: 0.000	 0.000	 0.000	 0.000	 0.099
No.65: 0.000	 0.000	 0.000	 0.000	 0.101
No.66: 0.000	 0.000	 0.000	 0.000	 0.103
No.67: 0.000	 0.000	 0.000	 0.000	 0.098
No.68: 0.000	 0.000	 0.000	 0.000	 0.098
No.69: 0.000	 0.000	 0.000	 0.000	 0.112
No.70: 0.000	 0.000	 0.000	 0.000	 0.087
No.71: 0.000	 0.000	 0.000	 0.000	 0.116
No.72: 0.000	 0.000	 0.000	 0.000	 0.108
No.73: 0.000	 0.000	 0.000	 0.000	 0.127
No.74: 0.000	 0.000	 0.000	 0.000	 0.084
No.75: 0.000	 0.000	 0.000	 0.000	 0.110
No.76: 0.000	 0.000	 0.000	 0.000	 0.099
No.77: 0.000	 0.000	 0.000	 0.000	 0.105
No.78: 0.000	 0.000	 0.000	 0.000	 0.119
No.79: 0.000	 0.000	 0.000	 0.000	 0.113
No.80: 0.000	 0.000	 0.000	 0.000	 0.093
No.81: 0.000	 0.000	 0.000	 0.000	 0.102
No.82: 0.000	 0.000	 0.000	 0.000	 0.103
No.83: 0.000	 0.000	 0.000	 0.000	 0.088
No.84: 0.000	 0.000	 0.000	 0.000	 0.101
No.85: 0.000	 0.000	 0.000	 0.000	 0.108
No.86: 0.000	 0.000	 0.000	 0.000	 0.087
No.87: 0.000	 0.000	 0.000	 0.000	 0.092
No.88: 0.000	 0.000	 0.000	 0.000	 0.105
No.89: 0.000	 0.000	 0.000	 0.000	 0.092
No.90: 0.000	 0.000	 0.000	 0.000	 0.102
No.91: 0.000	 0.000	 0.000	 0.000	 0.093
No.92: 0.000	 0.000	 0.000	 0.000	 0.101
No.93: 0.000	 0.000	 0.000	 0.000	 0.091
No.94: 0.000	 0.000	 0.000	 0.000	 0.102
No.95: 0.000	 0.000	 0.000	 0.000	 0.096
No.96: 0.000	 0.000	 0.000	 0.000	 0.087
No.97: 0.000	 0.000	 0.000	 0.000	 0.108
No.98: 0.000	 0.000	 0.000	 0.000	 0.096
No.99: 0.000	 0.000	 0.000	 0.000	 0.100
No.100: 0.000	 0.000	 0.000	 0.000	 0.115
No.101: 0.000	 0.000	 0.000	 0.000	 0.313
No.102: 0.000	 0.000	 0.000	 0.000	 0.329
No.103: 0.000	 0.000	 0.018	 0.000	 0.376
No.104: 1.000	 0.140	 0.246	 0.157	 0.621
No.105: 1.000	 0.158	 0.175	 0.180	 0.590
No.106: 0.000	 0.053	 0.053	 0.022	 0.357
No.107: 0.000	 0.000	 0.000	 0.000	 0.309
No.108: 0.000	 0.000	 0.000	 0.000	 0.312
No.109: 0.000	 0.123	 0.123	 0.112	 0.473
No.110: 0.000	 0.000	 0.000	 0.000	 0.323
No.111: 0.000	 0.035	 0.088	 0.000	 0.392
No.112: 1.000	 0.018	 0.070	 0.022	 0.455
No.113: 0.000	 0.000	 0.000	 0.000	 0.308
No.114: 0.000	 0.000	 0.000	 0.000	 0.318
No.115: 0.000	 0.000	 0.000	 0.000	 0.325
No.116: 0.000	 0.123	 0.140	 0.135	 0.492
No.117: 1.000	 0.018	 0.035	 0.022	 0.374
No.118: 0.000	 0.018	 0.035	 0.000	 0.347
No.119: 0.000	 0.018	 0.018	 0.000	 0.342
No.120: 0.000	 0.000	 0.018	 0.000	 0.373
No.121: 0.000	 0.070	 0.158	 0.045	 0.454
No.122: 0.000	 0.000	 0.000	 0.000	 0.342
No.123: 0.000	 0.035	 0.088	 0.045	 0.425
No.124: 0.000	 0.000	 0.000	 0.000	 0.323
No.125: 0.000	 0.000	 0.035	 0.000	 0.356
No.126: 0.000	 0.000	 0.000	 0.000	 0.314
No.127: 0.000	 0.018	 0.035	 0.000	 0.332
No.128: 0.000	 0.000	 0.035	 0.000	 0.373
No.129: 0.000	 0.018	 0.088	 0.022	 0.367
No.130: 0.000	 0.018	 0.123	 0.000	 0.393
No.131: 0.000	 0.000	 0.000	 0.000	 0.320
No.132: 0.000	 0.018	 0.018	 0.022	 0.337
No.133: 0.000	 0.000	 0.035	 0.000	 0.345
No.134: 0.000	 0.000	 0.000	 0.000	 0.367
No.135: 0.000	 0.000	 0.000	 0.000	 0.322
No.136: 0.000	 0.000	 0.000	 0.000	 0.305
No.137: 0.000	 0.000	 0.000	 0.000	 0.314
No.138: 0.000	 0.018	 0.018	 0.022	 0.340
No.139: 0.000	 0.053	 0.088	 0.045	 0.412
No.140: 0.000	 0.000	 0.000	 0.000	 0.319
No.141: 0.000	 0.018	 0.035	 0.022	 0.356
No.142: 0.000	 0.018	 0.018	 0.022	 0.386
No.143: 0.000	 0.000	 0.000	 0.000	 0.303
No.144: 0.000	 0.000	 0.000	 0.000	 0.363
No.145: 0.000	 0.000	 0.000	 0.000	 0.330
No.146: 0.000	 0.018	 0.018	 0.000	 0.347
No.147: 0.000	 0.070	 0.175	 0.022	 0.442
No.148: 0.000	 0.000	 0.000	 0.000	 0.310
No.149: 0.000	 0.035	 0.035	 0.022	 0.342
No.150: 0.000	 0.018	 0.018	 0.022	 0.322
No.151: 0.000	 0.000	 0.000	 0.000	 0.278
No.152: 0.000	 0.000	 0.000	 0.000	 0.213
No.153: 0.000	 0.000	 0.000	 0.000	 0.236
No.154: 0.000	 0.000	 0.000	 0.000	 0.235
No.155: 0.000	 0.000	 0.000	 0.000	 0.208
No.156: 0.000	 0.000	 0.000	 0.000	 0.238
No.157: 0.000	 0.000	 0.000	 0.000	 0.210
No.158: 0.000	 0.000	 0.000	 0.000	 0.218
No.159: 0.000	 0.000	 0.000	 0.000	 0.255
No.160: 0.000	 0.000	 0.000	 0.000	 0.240
No.161: 0.000	 0.000	 0.000	 0.000	 0.234
No.162: 0.000	 0.000	 0.000	 0.000	 0.234
No.163: 0.000	 0.000	 0.000	 0.000	 0.250
No.164: 0.000	 0.000	 0.000	 0.000	 0.234
No.165: 0.000	 0.000	 0.000	 0.000	 0.227
No.166: 0.000	 0.000	 0.000	 0.000	 0.262
No.167: 0.000	 0.000	 0.000	 0.000	 0.214
No.168: 0.000	 0.000	 0.077	 0.044	 0.321
No.169: 0.000	 0.000	 0.000	 0.000	 0.224
No.170: 0.000	 0.000	 0.000	 0.000	 0.231
No.171: 0.000	 0.000	 0.000	 0.000	 0.228
No.172: 0.000	 0.000	 0.000	 0.000	 0.219
No.173: 0.000	 0.000	 0.000	 0.000	 0.222
No.174: 0.000	 0.000	 0.000	 0.000	 0.251
No.175: 0.000	 0.000	 0.000	 0.000	 0.232
