        NN     FT     ST      E       DCG
No.1: 0.000	 0.051	 0.099	 0.006	 0.584
No.2: 0.000	 0.153	 0.258	 0.046	 0.664
No.3: 0.000	 0.029	 0.073	 0.000	 0.583
No.4: 1.000	 0.204	 0.389	 0.040	 0.710
No.5: 0.000	 0.083	 0.159	 0.017	 0.610
No.6: 0.000	 0.140	 0.264	 0.023	 0.637
No.7: 0.000	 0.000	 0.003	 0.000	 0.521
No.8: 0.000	 0.092	 0.210	 0.006	 0.619
No.9: 0.000	 0.108	 0.217	 0.023	 0.643
No.10: 0.000	 0.083	 0.140	 0.023	 0.632
No.11: 0.000	 0.213	 0.347	 0.029	 0.676
No.12: 0.000	 0.073	 0.191	 0.006	 0.616
No.13: 0.000	 0.054	 0.140	 0.000	 0.596
No.14: 0.000	 0.131	 0.229	 0.029	 0.643
No.15: 0.000	 0.019	 0.061	 0.000	 0.564
No.16: 0.000	 0.038	 0.061	 0.006	 0.586
No.17: 0.000	 0.064	 0.162	 0.000	 0.604
No.18: 0.000	 0.096	 0.197	 0.017	 0.628
No.19: 0.000	 0.086	 0.172	 0.012	 0.610
No.20: 0.000	 0.099	 0.223	 0.029	 0.642
No.21: 0.000	 0.089	 0.153	 0.012	 0.618
No.22: 0.000	 0.025	 0.073	 0.000	 0.560
No.23: 0.000	 0.022	 0.105	 0.000	 0.593
No.24: 0.000	 0.175	 0.312	 0.035	 0.679
No.25: 0.000	 0.019	 0.061	 0.006	 0.587
No.26: 0.000	 0.169	 0.309	 0.052	 0.671
No.27: 0.000	 0.051	 0.105	 0.006	 0.590
No.28: 0.000	 0.150	 0.239	 0.035	 0.665
No.29: 1.000	 0.178	 0.299	 0.029	 0.681
No.30: 0.000	 0.073	 0.175	 0.012	 0.609
No.31: 0.000	 0.089	 0.213	 0.006	 0.622
No.32: 0.000	 0.080	 0.159	 0.006	 0.613
No.33: 0.000	 0.143	 0.287	 0.040	 0.664
No.34: 1.000	 0.197	 0.452	 0.046	 0.713
No.35: 0.000	 0.239	 0.395	 0.092	 0.740
No.36: 1.000	 0.315	 0.408	 0.092	 0.753
No.37: 0.000	 0.127	 0.229	 0.035	 0.642
No.38: 1.000	 0.096	 0.220	 0.023	 0.642
No.39: 0.000	 0.102	 0.213	 0.023	 0.627
No.40: 0.000	 0.111	 0.223	 0.006	 0.631
No.41: 0.000	 0.127	 0.271	 0.023	 0.649
No.42: 0.000	 0.328	 0.516	 0.012	 0.719
No.43: 0.000	 0.045	 0.108	 0.023	 0.586
No.44: 0.000	 0.261	 0.360	 0.052	 0.720
No.45: 0.000	 0.029	 0.064	 0.012	 0.605
No.46: 0.000	 0.153	 0.274	 0.040	 0.664
No.47: 0.000	 0.006	 0.051	 0.000	 0.583
No.48: 0.000	 0.070	 0.146	 0.006	 0.609
No.49: 1.000	 0.153	 0.268	 0.046	 0.672
No.50: 0.000	 0.204	 0.303	 0.075	 0.694
No.51: 0.000	 0.035	 0.080	 0.006	 0.591
No.52: 0.000	 0.185	 0.318	 0.017	 0.664
No.53: 0.000	 0.143	 0.258	 0.029	 0.646
No.54: 0.000	 0.127	 0.213	 0.052	 0.671
No.55: 0.000	 0.041	 0.096	 0.006	 0.595
No.56: 0.000	 0.080	 0.159	 0.017	 0.605
No.57: 0.000	 0.010	 0.067	 0.000	 0.586
No.58: 1.000	 0.111	 0.226	 0.017	 0.670
No.59: 0.000	 0.000	 0.000	 0.000	 0.512
No.60: 1.000	 0.261	 0.373	 0.092	 0.735
No.61: 0.000	 0.086	 0.210	 0.017	 0.637
No.62: 0.000	 0.146	 0.258	 0.006	 0.645
No.63: 0.000	 0.048	 0.089	 0.006	 0.593
No.64: 0.000	 0.226	 0.347	 0.052	 0.709
No.65: 1.000	 0.223	 0.392	 0.064	 0.725
No.66: 1.000	 0.207	 0.347	 0.069	 0.724
No.67: 0.000	 0.013	 0.073	 0.000	 0.578
No.68: 0.000	 0.057	 0.137	 0.006	 0.590
No.69: 1.000	 0.280	 0.459	 0.052	 0.733
No.70: 0.000	 0.191	 0.344	 0.052	 0.690
No.71: 0.000	 0.048	 0.115	 0.000	 0.597
No.72: 0.000	 0.041	 0.108	 0.006	 0.587
No.73: 0.000	 0.115	 0.220	 0.029	 0.640
No.74: 0.000	 0.299	 0.446	 0.058	 0.715
No.75: 0.000	 0.096	 0.194	 0.012	 0.629
No.76: 0.000	 0.146	 0.280	 0.029	 0.652
No.77: 0.000	 0.099	 0.220	 0.012	 0.627
No.78: 0.000	 0.054	 0.124	 0.000	 0.596
No.79: 0.000	 0.067	 0.169	 0.012	 0.602
No.80: 0.000	 0.096	 0.185	 0.017	 0.631
No.81: 0.000	 0.000	 0.000	 0.000	 0.140
No.82: 0.000	 0.000	 0.000	 0.000	 0.077
No.83: 0.000	 0.000	 0.000	 0.000	 0.106
No.84: 0.000	 0.000	 0.000	 0.000	 0.081
No.85: 0.000	 0.000	 0.000	 0.000	 0.077
No.86: 0.000	 0.000	 0.000	 0.000	 0.119
No.87: 0.000	 0.000	 0.000	 0.000	 0.130
No.88: 0.000	 0.000	 0.000	 0.000	 0.078
No.89: 0.000	 0.000	 0.000	 0.000	 0.118
No.90: 0.000	 0.000	 0.000	 0.000	 0.084
No.91: 0.000	 0.000	 0.000	 0.000	 0.112
No.92: 0.000	 0.000	 0.000	 0.000	 0.086
No.93: 0.000	 0.000	 0.000	 0.000	 0.103
No.94: 0.000	 0.000	 0.000	 0.000	 0.120
No.95: 0.000	 0.000	 0.000	 0.000	 0.181
No.96: 0.000	 0.000	 0.000	 0.000	 0.187
No.97: 0.000	 0.000	 0.000	 0.000	 0.077
No.98: 0.000	 0.000	 0.000	 0.000	 0.100
No.99: 0.000	 0.000	 0.000	 0.000	 0.081
No.100: 0.000	 0.000	 0.000	 0.000	 0.157
No.101: 0.000	 0.000	 0.000	 0.000	 0.129
No.102: 0.000	 0.000	 0.000	 0.000	 0.093
No.103: 0.000	 0.000	 0.000	 0.000	 0.120
No.104: 0.000	 0.000	 0.000	 0.000	 0.167
No.105: 0.000	 0.000	 0.000	 0.000	 0.122
No.106: 0.000	 0.000	 0.000	 0.000	 0.136
No.107: 0.000	 0.000	 0.000	 0.000	 0.082
No.108: 0.000	 0.000	 0.000	 0.059	 0.232
No.109: 0.000	 0.000	 0.000	 0.000	 0.077
No.110: 0.000	 0.000	 0.000	 0.000	 0.166
No.111: 0.000	 0.000	 0.000	 0.000	 0.078
No.112: 0.000	 0.000	 0.000	 0.000	 0.101
No.113: 0.000	 0.000	 0.000	 0.000	 0.132
No.114: 0.000	 0.000	 0.000	 0.000	 0.083
No.115: 0.000	 0.000	 0.000	 0.000	 0.081
No.116: 0.000	 0.000	 0.000	 0.059	 0.176
No.117: 0.000	 0.000	 0.000	 0.000	 0.119
No.118: 0.000	 0.000	 0.000	 0.000	 0.085
No.119: 0.000	 0.000	 0.000	 0.000	 0.086
No.120: 0.000	 0.000	 0.000	 0.000	 0.180
No.121: 0.000	 0.000	 0.000	 0.000	 0.166
No.122: 0.000	 0.000	 0.000	 0.000	 0.119
No.123: 0.000	 0.000	 0.000	 0.000	 0.157
No.124: 0.000	 0.000	 0.000	 0.059	 0.193
No.125: 0.000	 0.000	 0.000	 0.000	 0.124
No.126: 0.000	 0.000	 0.000	 0.000	 0.085
No.127: 0.000	 0.000	 0.000	 0.000	 0.149
No.128: 0.000	 0.000	 0.000	 0.000	 0.131
